,DHT,DHT,DHT,DHT,DHT,FRO,FRO,FRO,FRO,FRO,ASC,ASC,ASC,ASC,ASC,ECO,ECO,ECO,ECO,ECO,NAT,NAT,NAT,NAT,NAT,TNK,TNK,TNK,TNK,TNK,INSW,INSW,INSW,INSW,INSW,TRMD,TRMD,TRMD,TRMD,TRMD,TOPS,TOPS,TOPS,TOPS,TOPS,TORO,TORO,TORO,TORO,TORO,PSHG,PSHG,PSHG,PSHG,PSHG
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 05:00:00,10.0,10.1,9.84,10.01,2299612.0,20.4,20.52,20.08,20.16,2286196.0,14.43,14.62,14.265,14.3,572897.0,27.2,27.69,27.2,27.5,40576,4.27,4.32,4.25,4.29,2240904.0,50.94,51.7199,50.405,51.38,391139.0,47.0,47.11,46.225,46.59,448117.0,31.0,31.58,31.0,31.45,405633.0,15.62,15.7,15.34,15.61,19106.0,4.91,5.1477,4.89,5.01,50848.0,2.3,2.34,2.1754,2.23,129805.0
2024-01-03 05:00:00,10.01,10.31,10.0,10.28,2470176.0,20.45,21.17,20.38,21.12,2869446.0,14.3,14.88,14.24,14.78,787811.0,27.36,28.65,27.2,28.27,76439,4.32,4.49,4.28,4.46,5125855.0,51.52,54.1,51.38,53.53,471597.0,46.67,48.46,46.455,48.22,586811.0,31.71,32.5,31.6101,32.41,623650.0,15.32,15.4,14.67,15.11,53326.0,5.01,5.5369,5.01,5.38,77380.0,2.23,2.3,2.1902,2.25,119025.0
2024-01-04 05:00:00,10.4,10.695,10.3,10.31,2863042.0,21.42,21.828,20.92,20.93,3490887.0,14.98,15.34,14.6,14.62,984433.0,28.61,28.835,28.37,28.48,37155,4.53,4.585,4.41,4.41,3108417.0,54.91,56.75,54.0,54.11,744615.0,48.94,49.58,47.61,47.84,1042825.0,33.08,33.795,32.3231,32.37,754235.0,14.87,15.8483,14.801,15.7,25015.0,5.41,5.97,5.2651,5.89,164960.0,2.3,2.38,2.25,2.33,189151.0
2024-01-05 05:00:00,10.4,10.99,10.375,10.94,4396897.0,21.28,22.47,21.135,22.24,4587588.0,14.7,15.1,14.64,15.0,905167.0,27.74,29.305,27.74,29.05,65370,4.4,4.64,4.39,4.56,6486904.0,54.53,56.68,54.4,56.2,473607.0,48.28,49.36,47.73,48.84,477654.0,32.58,33.89,32.46,33.78,626098.0,15.7,15.91,15.0,15.12,35492.0,5.89,5.97,5.6622,5.9,95264.0,2.33,2.38,2.25,2.35,85000.0
2024-01-08 05:00:00,10.73,10.82,10.5,10.67,3489556.0,21.75,21.87,21.47,21.78,2784925.0,14.79,14.98,14.55,14.97,595713.0,28.18,28.4299,27.99,28.33,49459,4.49,4.505,4.38,4.47,3455025.0,55.26,55.89,53.255,54.44,628000.0,47.95,48.42,47.01,48.41,521490.0,32.81,33.18,32.1,33.03,678445.0,15.3,15.3,14.47,14.55,42696.0,5.9,5.92,5.6901,5.75,41438.0,2.37,2.37,2.2301,2.25,82704.0
2024-01-09 05:00:00,10.67,10.74,10.5,10.69,1984880.0,22.23,22.23,21.55,21.91,2614340.0,15.015,15.0785,14.6176,14.92,445115.0,28.57,28.87,27.75,28.47,40733,4.46,4.5042,4.39,4.45,1712329.0,54.73,54.92,52.88,54.32,388611.0,48.78,49.14,47.65,49.01,466408.0,33.16,33.26,32.5376,33.0,541344.0,14.78,14.99,14.14,14.99,24798.0,5.65,5.75,5.6,5.66,41816.0,2.27,2.27,2.195,2.24,67788.0
2024-01-10 05:00:00,10.7,10.725,10.53,10.59,1629291.0,22.22,22.22,21.62,21.81,1911145.0,14.98,14.98,14.59,14.7,401657.0,28.02,28.17,27.72,27.98,49088,4.44,4.45,4.38,4.4,2064372.0,54.43,54.6099,53.2201,53.7,276847.0,49.21,49.3,48.14,48.98,444416.0,33.0,33.09,32.23,32.26,554264.0,14.77,14.99,14.7201,14.85,9766.0,5.61,5.61,5.45,5.52,55692.0,2.25,2.2884,2.19,2.25,47484.0
2024-01-11 05:00:00,10.53,10.73,10.285,10.71,2885480.0,21.23,21.545,20.93,21.41,2748606.0,14.66,14.815,14.32,14.79,516504.0,27.07,27.4,26.55,27.0,109725,4.38,4.385,4.31,4.35,2392357.0,53.12,54.08,52.42,54.05,328976.0,48.84,49.3,47.9,49.29,470699.0,32.01,32.16,31.53,32.03,1049423.0,14.86,15.14,14.48,14.8,24874.0,5.47,5.5,5.42,5.5,45200.0,2.35,2.35,2.1,2.14,180188.0
2024-01-12 05:00:00,11.01,11.36,10.89,10.96,3965149.0,22.31,23.0,22.05,22.14,4164081.0,15.5,15.61,14.88,15.05,1057001.0,28.2,28.86,28.1129,28.32,35453,4.51,4.645,4.445,4.46,4226858.0,55.59,57.28,55.22,56.34,564130.0,50.84,51.96,50.63,51.11,604804.0,33.48,33.7,32.12,32.54,1023091.0,14.8,15.59,14.6201,14.98,39125.0,5.43,5.54,5.35,5.4,61989.0,2.16,2.22,2.135,2.21,62213.0
2024-01-16 05:00:00,11.15,11.23,10.96,11.02,2362508.0,22.97,23.14,22.115,22.27,3121817.0,15.2,15.41,14.8,14.85,609588.0,29.14,29.37,28.7901,29.0,46611,4.51,4.59,4.44,4.47,3549456.0,57.07,57.91,55.46,55.76,610153.0,51.65,51.98,50.302,50.63,533315.0,33.04,33.31,32.03,32.3,795271.0,14.63,15.19,14.4,14.89,26771.0,5.4,5.4499,5.3,5.4,37653.0,2.25,2.2697,2.15,2.16,73399.0
2024-01-17 05:00:00,10.95,11.215,10.91,11.06,1518089.0,22.18,22.6699,22.09,22.49,1833955.0,14.76,15.305,14.76,15.25,878781.0,28.57,29.0,28.41,28.85,33263,4.41,4.505,4.41,4.49,2829187.0,55.46,57.4,55.46,56.72,391344.0,50.23,51.91,50.2,51.68,375303.0,32.73,33.613,32.7,33.29,611871.0,14.52,14.86,14.31,14.67,17215.0,5.35,5.58,5.35,5.57,46787.0,2.18,2.18,1.96,2.09,267683.0
2024-01-18 05:00:00,11.14,11.14,10.89,11.01,1367155.0,22.41,22.49,21.8,22.1,2136654.0,15.55,15.591,15.29,15.49,1173929.0,29.02,29.02,28.36,28.56,31763,4.5,4.53,4.4,4.45,3435349.0,57.09,57.295,55.8652,57.16,366717.0,52.0,52.56,51.3358,52.53,359868.0,34.36,34.8,34.05,34.65,1013739.0,14.74,14.74,14.13,14.41,39790.0,5.58,5.58,5.4,5.4,36439.0,2.07,2.09,2.0,2.03,114528.0
2024-01-19 05:00:00,11.11,11.17,10.89,10.98,1870725.0,22.18,22.5,21.9,22.24,2139659.0,15.6,15.72,15.22,15.58,764288.0,28.49,28.49,28.02,28.34,46690,4.48,4.495,4.3587,4.44,2920365.0,59.0,61.67,57.25,59.05,917163.0,52.91,53.2,51.85,52.48,387068.0,34.72,35.07,34.25,34.68,717554.0,14.37,14.37,13.95,14.12,22595.0,5.38,5.48,5.12,5.2,93592.0,1.98,2.08,1.98,2.04,55560.0
2024-01-22 05:00:00,10.94,11.11,10.83,10.85,1627046.0,22.0,22.06,21.48,21.56,2089431.0,15.66,15.8899,15.48,15.58,921290.0,28.1,28.25,27.7,27.7167,25966,4.42,4.42,4.31,4.31,2490973.0,59.05,59.79,58.13,58.33,450275.0,52.4,53.3,52.03,52.17,522111.0,34.91,35.81,34.66,35.44,756957.0,14.13,14.45,14.06,14.12,11542.0,5.2,5.49,5.1,5.38,64377.0,2.04,2.0499,1.96,1.97,130524.0
2024-01-23 05:00:00,10.8,10.825,10.63,10.78,1758106.0,20.93,21.29,20.819,21.16,2362408.0,15.5,15.64,15.27,15.48,598050.0,27.44,28.25,27.08,28.23,68698,4.3,4.31,4.23,4.27,2157081.0,58.0,58.885,57.52,57.98,422362.0,51.98,52.43,51.57,51.66,749865.0,35.06,35.745,34.76,35.49,594955.0,14.11,14.16,14.0,14.11,14989.0,5.36,5.56,5.28,5.47,46806.0,2.0,2.01,1.9,1.96,68690.0
2024-01-24 05:00:00,10.97,11.11,10.95,11.02,1731742.0,21.81,22.05,21.63,21.83,2193643.0,15.86,16.535,15.86,16.27,1159949.0,28.5,29.29,28.5,29.04,65614,4.32,4.44,4.32,4.42,2947083.0,58.99,60.6892,58.7897,59.79,426145.0,52.58,53.69,52.17,53.28,1130547.0,36.55,37.0,35.88,35.97,1135532.0,14.11,14.1985,13.88,13.88,16386.0,5.46,5.75,5.445,5.69,74051.0,2.0,2.0119,1.93,1.99,77835.0
2024-01-25 05:00:00,11.1,11.13,10.76,10.8,1808823.0,21.89,21.94,21.425,21.77,2529417.0,16.43,16.5,15.88,15.97,748381.0,28.65,28.72,28.25,28.52,61266,4.42,4.45,4.33,4.38,2107040.0,60.12,60.61,58.145,58.95,366948.0,53.57,53.64,51.61,51.99,613037.0,36.32,36.34,35.27,35.49,974356.0,13.99,14.44,13.43,13.43,14329.0,5.69,5.9,5.62,5.74,58772.0,1.98,2.01,1.92,1.93,103898.0
2024-01-26 05:00:00,10.8,11.18,10.8,11.16,1819605.0,21.75,22.78,21.68,22.74,2555283.0,16.04,16.319,15.9617,16.3,818941.0,28.28,30.0399,28.1664,29.72,68825,4.39,4.49,4.3801,4.49,3468576.0,58.86,60.62,58.49,60.5,436474.0,52.18,53.67,51.69,53.65,652485.0,35.57,36.57,35.45,36.57,614859.0,13.63,13.8,13.4437,13.8,11562.0,5.71,5.8699,5.5774,5.84,56496.0,1.92,2.09,1.92,1.96,59150.0
2024-01-29 05:00:00,11.22,11.29,10.96,10.98,2187679.0,22.65,22.72,22.07,22.27,1999916.0,16.53,16.78,16.1827,16.42,960179.0,29.6,29.61,28.88,29.29,39919,4.5,4.515,4.41,4.43,1796923.0,61.0,61.19,59.0,59.31,368689.0,53.98,54.27,52.235,52.34,706401.0,37.08,37.11,36.0145,36.43,588875.0,13.53,14.29,13.33,14.1,16236.0,5.84,6.04,5.65,6.04,78193.0,2.02,2.0485,1.95,2.01,67887.0
2024-01-30 05:00:00,10.95,11.3,10.95,11.22,1600890.0,22.42,22.905,22.42,22.9,2568347.0,16.35,16.7,16.18,16.6,776717.0,29.14,30.05,29.14,30.05,29396,4.4,4.446,4.38,4.41,2916220.0,60.51,62.71,59.67,62.51,677931.0,52.26,54.31,52.26,54.27,677573.0,36.18,36.7499,36.18,36.25,666849.0,14.21,14.3925,14.11,14.29,5097.0,6.06,6.28,6.03,6.28,88523.0,2.01,2.01,1.85,1.92,125089.0
2024-01-31 05:00:00,11.18,11.23,10.975,11.12,2139893.0,22.89,22.95,22.43,22.69,2101890.0,16.55,16.88,16.4,16.57,590378.0,29.95,29.9699,29.32,29.53,22656,4.41,4.55,4.345,4.45,5000268.0,62.53,63.2182,61.79,62.55,699153.0,54.3,54.305,53.49,53.64,457725.0,35.69,36.3,35.2643,35.94,640842.0,14.05,14.6399,13.75,13.75,8002.0,6.27,6.28,6.03,6.06,62284.0,1.9,1.95,1.87,1.88,84528.0
2024-02-01 05:00:00,11.25,11.36,10.54,10.84,2709726.0,23.05,23.26,21.25,22.04,6380433.0,16.7,16.77,15.6,16.25,1126315.0,29.9,30.2,27.76,28.9,103346,4.46,4.55,4.205,4.28,5296964.0,62.68,64.42,57.39,60.71,1120500.0,54.23,54.87,50.5,52.42,940019.0,36.21,36.51,33.74,34.91,1197175.0,13.9512,13.9699,13.61,13.66,12724.0,6.03,6.16,5.77,5.86,91114.0,1.92,1.9465,1.7501,1.86,119801.0
2024-02-02 05:00:00,10.8,10.8,10.55,10.58,1853242.0,21.87,21.955,21.3172,21.43,2338389.0,16.27,16.3,16.07,16.23,861079.0,28.1,28.6,28.05,28.23,78479,4.31,4.33,4.1813,4.22,3457412.0,60.77,60.77,58.87,59.0,407770.0,52.34,52.49,51.685,51.74,481521.0,34.79,35.01,33.96,34.09,785482.0,13.76,14.39,13.75,13.84,16836.0,5.78,6.0,5.77,5.92,46441.0,1.86,1.9,1.8,1.85,84397.0
2024-02-05 05:00:00,10.58,10.65,10.39,10.5,1571192.0,21.75,21.89,21.3524,21.72,2196501.0,16.16,16.4,15.8,16.29,808427.0,28.22,28.22,27.77,28.0,32656,4.19,4.21,4.03,4.11,3661855.0,58.94,59.6836,56.9079,58.01,470175.0,51.78,51.895,50.295,51.28,468921.0,34.6,34.7081,33.9101,34.62,537044.0,13.82,13.82,13.55,13.78,10149.0,5.8,5.8,5.64,5.64,43091.0,1.87,1.87,1.77,1.78,81959.0
2024-02-06 05:00:00,10.51,10.64,10.435,10.51,2166902.0,21.83,22.05,21.4,21.48,1977313.0,16.3,16.52,16.1,16.16,625191.0,27.85,28.37,27.74,27.79,35078,4.13,4.24,4.11,4.12,2393206.0,58.16,58.63,56.43,56.7,435837.0,51.28,51.93,50.59,50.88,363093.0,33.91,34.45,33.5276,33.61,469916.0,13.7,13.7375,13.25,13.35,14772.0,5.61,5.75,5.61,5.65,28867.0,1.84,1.84,1.76,1.81,61808.0
2024-02-07 05:00:00,10.61,11.14,10.2,11.0,4257348.0,21.61,22.46,21.45,22.33,2803227.0,16.06,16.28,15.91,16.14,634610.0,27.51,28.21,27.48,28.08,34438,4.145,4.2,4.065,4.18,1967748.0,56.3,58.59,55.55,57.5,516912.0,50.7,52.18,50.48,51.87,369705.0,33.37,34.22,33.0,33.99,542565.0,13.7,13.94,13.05,13.435,40666.0,5.59,5.63,5.53,5.54,38940.0,1.79,1.8,1.73,1.77,64836.0
2024-02-08 05:00:00,10.96,11.1,10.9,10.99,2046770.0,22.28,22.4,21.925,22.08,1483928.0,16.09,16.22,15.9,15.95,601739.0,28.0,28.47,27.73,28.47,35305,4.16,4.2,4.13,4.19,1639084.0,57.18,58.25,56.6,58.03,561328.0,51.35,52.14,51.02,51.3,416410.0,33.65,33.79,33.28,33.63,442672.0,13.43,13.91,13.43,13.47,7066.0,5.54,5.73,5.53,5.7,29239.0,1.74,1.79,1.7,1.74,76565.0
2024-02-09 05:00:00,11.03,11.125,10.93,11.05,1820965.0,22.19,22.3898,21.95,22.27,1951208.0,15.92,16.03,15.81,16.0,605019.0,27.77,28.3,27.77,27.92,33467,4.19,4.21,4.15,4.2,1418652.0,57.8,58.19,57.01,57.44,332294.0,51.19,51.555,50.76,51.43,329581.0,33.51,33.7,33.33,33.58,327067.0,13.83,14.0,13.42,13.51,15209.0,5.68,5.68,5.59,5.59,31579.0,1.77,1.78,1.71,1.78,36498.0
2024-02-12 05:00:00,11.13,11.39,11.07,11.37,2035304.0,22.97,23.275,22.84,23.11,2312794.0,16.05,16.65,16.04,16.55,845194.0,28.65,29.05,28.6,28.96,21760,4.2,4.31,4.185,4.26,2057892.0,57.59,59.77,57.59,59.13,458146.0,51.66,52.78,51.66,52.61,461936.0,33.76,34.75,33.76,34.42,582763.0,13.66,13.99,12.95,13.46,27773.0,5.59,6.0,5.59,5.99,65919.0,1.78,1.89,1.78,1.87,35642.0
2024-02-13 05:00:00,11.37,11.37,11.13,11.3,2440712.0,23.16,23.26,22.65,22.83,1868626.0,16.45,16.5,16.2,16.41,585234.0,28.76,28.76,28.09,28.52,49080,4.25,4.28,4.17,4.18,1875671.0,59.06,59.25,57.52,58.04,386221.0,52.61,52.655,51.63,52.35,454050.0,34.35,34.35,33.94,34.07,482834.0,13.225,13.73,13.12,13.69,14111.0,5.99,6.2861,5.97,6.16,68122.0,1.83,1.853,1.7696,1.84,50682.0
2024-02-14 05:00:00,11.39,11.455,11.145,11.3,1641492.0,23.37,23.67,22.97,23.21,3208172.0,16.52,16.588,16.07,16.26,564021.0,29.05,29.86,28.76,29.28,62265,4.24,4.26,4.14,4.16,2322832.0,58.53,58.57,56.7204,57.68,403462.0,52.99,53.26,51.71,52.52,573143.0,34.55,34.845,33.71,33.91,454927.0,13.4,13.975,13.4,13.97,18203.0,6.18,6.23,6.0601,6.13,39241.0,1.84,1.93,1.79,1.92,41886.0
2024-02-15 05:00:00,11.3,11.71,11.19,11.68,2346628.0,23.25,23.96,23.16,23.92,2668100.0,16.02,16.4,15.0501,16.25,1407296.0,28.5,29.7167,28.45,29.65,88102,4.16,4.29,4.13,4.28,2523914.0,57.47,59.15,56.7501,58.98,345578.0,52.38,53.77,51.87,53.36,1018579.0,33.41,34.74,33.34,34.56,434149.0,13.7,14.74,13.7,14.7,22645.0,6.11,6.25,6.05,6.2,34451.0,1.89,2.0,1.89,1.96,97313.0
2024-02-16 05:00:00,11.73,11.9,11.52,11.53,2623448.0,24.35,24.535,24.12,24.15,2482696.0,16.36,16.63,16.11,16.35,1072420.0,29.95,30.28,29.88,30.17,42886,4.3,4.37,4.26,4.27,2898579.0,59.28,59.9,58.21,58.22,260778.0,53.79,54.1799,52.94,52.96,442147.0,34.7,34.89,34.15,34.18,327098.0,14.74,14.9361,14.52,14.57,12828.0,6.15,6.45,6.11,6.36,96851.0,1.98,2.0,1.91,1.94,21909.0
2024-02-20 05:00:00,11.31,11.31,11.0,11.03,1862605.0,24.1,24.3,23.495,23.54,2842877.0,16.35,16.37,15.96,16.03,753575.0,30.5,30.51,29.905,30.07,34441,4.25,4.27,4.19,4.19,2368836.0,57.81,57.92,57.0,57.08,394981.0,52.52,52.52,50.88,51.13,515197.0,34.17,34.27,33.6,33.63,510956.0,14.48,14.76,14.0,14.66,8142.0,6.25,6.3807,6.17,6.17,56554.0,1.93,1.94,1.8237,1.88,39889.0
2024-02-21 05:00:00,11.01,11.18,10.79,10.83,1658873.0,23.4,23.72,22.8841,23.01,1914358.0,16.0,16.47,15.9,16.16,607417.0,29.62,30.59,29.3201,29.76,54651,4.2,4.35,4.14,4.16,4648720.0,57.17,59.25,56.6539,57.94,495064.0,51.27,52.58,50.7346,51.36,634380.0,33.64,34.13,33.1601,33.34,380421.0,14.52,14.7049,14.2,14.2,5303.0,6.1,6.1357,5.82,5.82,53921.0,1.89,1.9697,1.8509,1.885,34012.0
2024-02-22 05:00:00,10.69,10.94,10.64,10.93,1855320.0,23.02,23.08,22.6,23.07,2154912.0,16.18,16.28,15.8,16.26,632520.0,28.81,29.62,28.61,29.29,40121,4.18,4.18,4.04,4.11,2878896.0,56.62,56.62,52.01,54.78,1931749.0,50.97,51.67,50.08,51.63,721863.0,33.1,33.8,32.59,33.59,514845.0,14.21,14.21,13.5,13.6,9511.0,5.9,6.15,5.9,6.08,47525.0,1.89,1.92,1.86,1.875,46686.0
2024-02-23 05:00:00,10.82,10.84,10.625,10.75,938119.0,22.9,23.01,22.55,22.89,1746075.0,16.18,16.18,15.9,15.9,512651.0,28.7,29.38,28.41,29.2,48709,4.085,4.09,3.97,4.02,3314801.0,54.5,54.615,52.31,54.03,786587.0,51.18,51.66,50.23,51.45,378889.0,33.15,33.42,32.72,33.25,398187.0,13.5385,13.8,13.3,13.3,10705.0,6.12,6.25,5.94,6.2,53461.0,1.9,1.92,1.83,1.88,36248.0
2024-02-26 05:00:00,10.72,10.865,10.68,10.81,1586111.0,22.96,23.23,22.85,23.17,1445453.0,15.88,16.13,15.83,16.1,543992.0,29.35,31.26,29.35,31.22,138029,4.02,4.12,3.97,4.08,2958151.0,54.23,55.93,54.0,55.24,631910.0,51.3,52.46,51.2165,52.22,343903.0,34.11,34.26,33.71,33.95,461816.0,13.35,13.7,13.35,13.683,16863.0,6.14,6.24,6.07,6.07,35509.0,1.88,1.95,1.857,1.9,50434.0
2024-02-27 05:00:00,10.79,10.8,10.645,10.69,1113411.0,22.53,22.61,22.263,22.32,1650724.0,16.16,16.34,15.95,16.14,546688.0,30.0,30.45,29.74,30.27,272110,4.05,4.105,4.0,4.08,2954091.0,55.24,55.46,54.3,54.6,360102.0,52.22,52.345,51.603,51.74,285256.0,34.0,34.39,33.7077,33.97,387694.0,14.0,14.365,13.44,13.98,23084.0,6.11,6.11,5.96,5.96,28105.0,1.9,1.9,1.87,1.9,18249.0
2024-02-28 05:00:00,10.71,10.88,10.68,10.76,1113344.0,22.54,22.9,22.53,22.74,2000749.0,16.0,16.25,15.96,16.02,395309.0,30.19,30.6356,30.03,30.15,53751,4.08,4.23,4.05,4.14,4169678.0,54.42,55.62,54.4,55.1,418635.0,51.67,52.9,51.67,52.26,411734.0,34.43,34.95,33.93,34.34,302187.0,13.98,14.0,13.61,13.73,5818.0,5.94,6.2,5.9387,6.15,59401.0,1.88,1.91,1.86,1.88,30379.0
2024-02-29 05:00:00,10.77,10.8686,10.63,10.82,1749766.0,22.43,23.04,22.23,22.53,2470016.0,16.11,16.35,16.0921,16.23,460456.0,29.69,30.31,29.11,29.23,121994,4.11,4.17,4.0,4.07,4358330.0,55.11,56.13,54.75,54.82,424380.0,51.68,53.12,51.68,52.93,795033.0,34.22,34.465,33.8,33.81,438499.0,13.84,14.0,13.58,13.67,7560.0,6.15,6.21,6.15,6.15,35952.0,1.85,1.93,1.85,1.87,39575.0
2024-03-01 05:00:00,10.82,11.12,10.81,11.01,1696434.0,22.85,23.2,22.34,22.58,2754499.0,16.24,16.4793,16.23,16.25,408606.0,29.78,29.89,29.055,29.63,85371,4.07,4.24,4.07,4.16,4601922.0,54.81,55.5,54.63,54.74,475846.0,53.09,54.95,53.09,53.99,942979.0,33.56,34.196,33.5,33.8,414358.0,13.63,13.9899,13.6,13.67,13554.0,6.13,6.16,6.04,6.07,38190.0,1.86,1.89,1.85,1.86,44712.0
2024-03-04 05:00:00,11.05,11.13,10.85,10.97,2485513.0,22.79,23.005,22.44,22.56,2838883.0,16.3,16.36,15.57,15.57,610317.0,29.6,29.63,28.99,29.62,59342,4.24,4.25,4.02,4.03,4363131.0,54.89,55.4,53.09,53.3,445106.0,54.31,54.6864,51.87,51.88,587709.0,33.78,33.82,32.64,32.64,486687.0,13.7,13.91,13.48,13.52,17676.0,6.05,6.05,5.61,5.61,93961.0,1.86,1.86,1.75,1.79,94208.0
2024-03-05 05:00:00,11.12,11.34,11.12,11.21,1985011.0,23.4,23.69,23.1,23.35,2733605.0,15.63,16.04,15.55,15.84,630392.0,30.03,30.54,29.93,30.06,66841,4.03,4.135,4.01,4.02,2993608.0,53.53,55.0,53.53,54.27,394608.0,52.24,53.66,52.24,52.79,627155.0,33.13,33.76,33.13,33.39,369212.0,13.5,13.85,13.5,13.78,9637.0,5.64,5.7277,5.62,5.66,34343.0,1.81,1.82,1.74,1.79,71489.0
2024-03-06 05:00:00,11.2,11.275,11.065,11.11,1359575.0,23.5,23.79,23.225,23.31,1868323.0,15.99,16.09,15.72,15.86,505507.0,30.06,30.6399,30.06,30.3,37651,4.05,4.11,4.03,4.05,3093118.0,54.3,54.87,53.61,54.14,365270.0,53.22,53.44,52.54,52.97,564046.0,33.39,33.76,33.105,33.76,618572.0,13.61,13.84,13.5,13.7538,11899.0,5.66,5.7,5.58,5.58,36335.0,1.77,1.78,1.75,1.76,47366.0
2024-03-07 05:00:00,11.15,11.2,11.045,11.09,835130.0,23.41,23.6,23.2399,23.5,1360402.0,15.86,15.95,15.805,15.88,457616.0,30.29,30.61,30.06,30.29,59638,4.06,4.09,4.04,4.08,3816824.0,54.23,54.6301,53.42,53.79,341022.0,52.93,53.41,52.55,53.03,1191237.0,34.3,34.33,33.16,33.2,1082904.0,13.66,14.1,13.64,14.1,19050.0,5.6,5.67,5.51,5.51,40960.0,1.85,1.89,1.77,1.86,177907.0
2024-03-08 05:00:00,11.1,11.18,11.07,11.1,727796.0,23.2,23.4,23.1009,23.2,992981.0,15.64,15.86,15.48,15.78,644716.0,29.61,29.61,28.85,29.0,63897,4.08,4.1,4.005,4.04,4243552.0,53.85,54.74,53.43,53.78,356189.0,53.15,53.67,52.79,53.12,441705.0,32.91,33.88,32.61,33.76,755148.0,13.99,14.5529,13.81,14.5499,17600.0,5.5,5.6,5.4606,5.51,52023.0,1.88,1.94,1.8701,1.9,124446.0
2024-03-11 04:00:00,11.04,11.0902,10.82,10.86,1574145.0,23.04,23.1,22.635,22.7,1241295.0,15.78,15.85,15.565,15.64,612388.0,29.35,29.35,28.95,28.95,21339,4.04,4.07,4.015,4.03,1903371.0,53.59,53.59,52.51,53.28,302994.0,52.65,53.0,51.55,51.72,487654.0,33.75,34.04,33.38,34.0,801492.0,14.48,14.6887,13.97,14.01,11738.0,5.46,5.5795,5.35,5.49,53510.0,1.9,1.94,1.7953,1.9,141294.0
2024-03-12 04:00:00,10.84,10.89,10.705,10.82,1491946.0,22.69,22.87,22.53,22.68,1446801.0,15.68,16.06,15.62,15.86,745407.0,28.95,28.95,28.34,28.6,49783,4.03,4.08,3.99,4.04,2687951.0,53.5,53.87,52.93,53.11,260685.0,51.86,52.29,51.75,51.95,611108.0,33.76,34.25,33.51,33.94,724982.0,14.09,14.09,13.3632,13.765,23553.0,5.45,5.8,5.45,5.75,33585.0,1.88,1.97,1.85,1.93,175984.0
2024-03-13 04:00:00,10.85,10.94,10.78,10.81,1328420.0,22.96,23.62,22.86,23.34,1894384.0,15.9,16.365,15.9,16.33,772829.0,29.2,29.45,29.07,29.09,33248,4.05,4.085,4.02,4.02,2452356.0,53.54,54.24,53.02,53.88,240899.0,51.24,52.05,51.05,51.58,500113.0,34.61,34.9,34.35,34.54,619645.0,13.7,14.1983,13.25,13.815,17532.0,5.7,6.04,5.7,5.91,52628.0,1.93,1.98,1.93,1.96,121821.0
2024-03-14 04:00:00,10.79,11.18,10.74,11.17,1550567.0,23.02,23.98,22.88,23.97,2887409.0,16.38,16.83,16.15,16.77,783906.0,29.54,30.19,29.22,30.18,45311,4.04,4.07,4.0,4.06,2270341.0,53.67,55.21,53.3217,55.11,358398.0,51.34,52.73,50.94,52.57,519012.0,34.53,35.21,34.15,35.11,678633.0,13.8,14.4169,13.28,13.38,27334.0,5.84,6.025,5.7668,5.92,54226.0,1.96,1.96,1.9,1.91,100392.0
2024-03-15 04:00:00,11.2,11.42,11.15,11.22,2796435.0,23.8,23.93,23.31,23.65,3109445.0,16.71,17.02,16.52,16.56,823390.0,30.84,31.53,30.61,31.34,169018,4.04,4.1,4.04,4.06,4037942.0,55.29,56.03,54.87,55.75,647209.0,52.6,53.34,51.87,52.1,679107.0,35.08,35.3164,34.38,34.58,552168.0,13.35,13.44,12.95,13.35,19228.0,5.92,6.06,5.7,5.7,65086.0,1.88,1.91,1.88,1.88,23499.0
2024-03-18 04:00:00,11.17,11.17,10.95,11.09,1439481.0,23.65,23.72,23.065,23.69,2660127.0,16.56,16.64,16.2,16.27,414953.0,31.07,31.19,30.66,31.05,72756,4.06,4.07,4.0,4.03,4351668.0,55.9,55.91,54.6901,55.52,448568.0,52.05,52.53,51.47,52.31,464459.0,34.37,34.41,33.81,34.21,739982.0,13.02,13.4,12.9513,13.3,7671.0,5.7,6.04,5.67,5.91,53014.0,1.93,1.9646,1.85,1.85,39076.0
2024-03-19 04:00:00,11.01,11.24,11.009,11.11,1660750.0,23.59,23.8,23.16,23.23,1510943.0,16.33,16.59,16.25,16.4,428664.0,30.59,30.76,30.12,30.22,53448,3.95,3.98,3.86,3.88,4975695.0,55.58,56.6497,55.22,55.9,288898.0,52.42,53.03,52.055,52.56,435530.0,34.47,34.74,34.0,34.29,606693.0,13.38,13.4,13.06,13.36,3163.0,5.89,5.89,5.57,5.57,49651.0,1.85,1.89,1.83,1.83,131654.0
